run_id,timestamp,path_label,run_num,collision,d_min_mm,goal_arrival_pos_err_m,goal_arrival_yaw_err_deg,slam_x,slam_y,slam_yaw_deg,notes
1,1777896686.079,1→3,1,1,0.0,0.0477,4.4454,1.7687,-0.9640,175.5546,
2,1777896758.742,1→3,2,0,50.0,0.0463,31.8109,1.7538,-0.9984,-148.1891,
3,1777896810.989,1→3,3,0,100.0,0.0483,4.3403,1.7517,-0.9983,175.6597,
4,1777896862.346,4→2,1,0,120.0,0.0465,3.1686,1.7601,-0.0240,-93.1686,
5,1777896911.033,4→2,2,0,300.0,0.0471,13.4378,1.7590,-0.0232,-76.5622,
6,1777896962.506,4→2,3,0,320.0,0.0460,9.4091,1.7597,-0.0223,-80.5909,
7,1777898062.232,1→3,1,1,28.6,0.0467,1.9761,1.7725,-0.9623,178.0239,
8,1777898115.080,1→3,2,0,83.7,0.0474,5.8239,1.7528,-0.9957,-174.1761,
9,1777898177.242,1→3,3,0,78.5,0.0472,3.5692,1.7528,-1.0016,-176.4308,
10,1777898976.944,1→3,1,1,0.0,0.0479,13.6363,1.7686,-0.9638,-166.3637,
11,1777899028.568,1→3,2,0,0.0,0.0460,2.3794,1.7720,-0.9635,177.6206,
12,1777899076.019,1→3,3,0,0.0,0.0477,0.6693,1.7712,-0.9619,-179.3307,
13,1777899218.650,4→2,1,0,106.8,0.0480,14.4730,1.7587,-0.0244,-75.5270,
14,1777899266.173,4→2,2,0,119.7,0.0449,2.7383,1.7619,-0.0238,-92.7383,
15,1777899314.721,4→2,3,0,129.6,0.0453,7.4228,1.7608,-0.0228,-82.5772,
16,1777900423.671,1→3,1,0,0.0,0.0459,2.5928,1.7724,-0.9633,-177.4072,
17,1777900489.620,1→3,2,1,40.0,0.0453,3.3980,1.7747,-0.9624,176.6020,
18,1777900540.942,1→3,3,0,193.6,0.0468,6.5282,1.7551,-1.0130,173.4718,
19,1777900661.542,1→3,1,0,0.0,0.0481,5.2732,1.7681,-0.9640,-174.7268,
20,1777900712.637,1→3,2,0,21.4,0.0467,3.0166,1.7725,-0.9622,-176.9834,
21,1777900778.687,1→3,3,0,154.4,0.0484,3.8041,1.7543,-1.0160,-176.1959,
