run_id,timestamp,measured_l_m,measured_w_m,measured_h_m,measured_vol_m3,actual_l_m,actual_w_m,actual_h_m,actual_vol_m3,err_l_m,err_w_m,err_h_m,err_vol_m3,err_l_pct,err_w_pct,err_h_pct,err_vol_pct,bbox_min_x,bbox_min_y,bbox_min_z,bbox_max_x,bbox_max_y,bbox_max_z,vertex_err_000,vertex_err_001,vertex_err_010,vertex_err_011,vertex_err_100,vertex_err_101,vertex_err_110,vertex_err_111,mean_vertex_err,max_vertex_err,occ_cells_2d,point_count_3d,notes
1,1777641599.391,0.6887,0.1629,0.4595,0.051551,0.2600,0.1800,0.3900,0.018252,0.4287,-0.0171,0.0695,0.033299,164.88,-9.50,17.81,182.44,0.2535,0.8135,0.2074,1.1422,1.1764,0.6668,0.5031,0.5355,0.3811,0.4229,0.5818,0.6100,0.4802,0.5140,0.5036,0.6100,130,340,inflation_corrected_0.20m
2,1777641706.549,0.7461,0.1644,0.4643,0.056950,0.2600,0.1800,0.3900,0.018252,0.4861,-0.0156,0.0743,0.038698,186.96,-8.67,19.04,212.02,0.1961,0.8113,0.2026,1.1422,1.1756,0.6668,0.5334,0.5658,0.4185,0.4591,0.5816,0.6114,0.4785,0.5143,0.5203,0.6114,157,526,inflation_corrected_0.20m
3,1777641800.739,0.7461,0.1644,0.6019,0.073828,0.2600,0.1800,0.3900,0.018252,0.4861,-0.0156,0.2119,0.055576,186.96,-8.67,54.33,304.49,0.1961,0.8113,0.2026,1.1422,1.1756,0.8044,0.5334,0.6444,0.4185,0.5531,0.5816,0.6848,0.4785,0.5997,0.5617,0.6848,158,566,inflation_corrected_0.20m
4,1777642965.589,0.7931,0.2615,0.5068,0.105108,0.2600,0.1800,0.3900,0.018252,0.5331,0.0815,0.1168,0.086856,205.04,45.28,29.94,475.87,0.1519,0.8106,0.2020,1.1450,1.2721,0.7087,0.5600,0.6119,0.4166,0.4841,0.5837,0.6336,0.4480,0.5114,0.5311,0.6336,127,487,inflation_corrected_0.20m
5,1777643078.215,0.8125,0.3204,0.5109,0.133000,0.2600,0.1800,0.3900,0.018252,0.5525,0.1404,0.1209,0.114748,212.50,78.00,31.00,628.69,0.1275,0.8112,0.2033,1.1399,1.3316,0.7143,0.5756,0.6286,0.4272,0.4963,0.5804,0.6330,0.4336,0.5018,0.5346,0.6330,136,691,inflation_corrected_0.20m
6,1777643249.028,0.7172,0.2183,0.6202,0.097101,0.2600,0.1800,0.3900,0.018252,0.4572,0.0383,0.2302,0.078849,175.85,21.28,59.01,432.00,0.1135,0.8104,0.2082,1.0307,1.2287,0.8283,0.5870,0.7024,0.4644,0.6037,0.5181,0.6459,0.3735,0.5369,0.5540,0.7024,131,542,inflation_corrected_0.20m
7,1777643344.386,0.8212,0.2186,0.6680,0.119916,0.2600,0.1800,0.3900,0.018252,0.5612,0.0386,0.2780,0.101664,215.85,21.44,71.28,557.00,0.1149,0.8101,0.2079,1.1361,1.2287,0.8759,0.5861,0.7324,0.4630,0.6382,0.5803,0.7278,0.4556,0.6328,0.6020,0.7324,135,767,inflation_corrected_0.20m
8,1777643456.745,0.8275,0.2183,0.6677,0.120615,0.2600,0.1800,0.3900,0.018252,0.5675,0.0383,0.2777,0.102363,218.27,21.28,71.22,560.83,0.1141,0.8104,0.2082,1.1416,1.2287,0.8759,0.5866,0.7327,0.4639,0.6387,0.5838,0.7305,0.4603,0.6361,0.6041,0.7327,161,974,inflation_corrected_0.20m
9,1777644205.568,0.2055,-0.0537,0.3038,0.000000,0.2600,0.1800,0.3900,0.018252,-0.0545,-0.2337,-0.0862,-0.018252,-20.96,-129.83,-22.10,-100.00,0.4351,1.1153,0.2162,0.8406,1.2616,0.5200,0.2411,0.1682,0.2549,0.1874,0.2458,0.1748,0.2593,0.1934,0.2156,0.2593,41,151,inflation_corrected_0.20m
10,1777646435.022,0.3497,-0.0321,0.6585,0.000000,0.2600,0.1800,0.3900,0.018252,0.0897,-0.2121,0.2685,-0.018252,34.50,-117.83,68.84,-100.00,0.3599,1.0545,0.2040,0.9096,1.2224,0.6585,0.2020,0.3360,0.2109,0.3414,0.2087,0.3400,0.2173,0.3454,0.2752,0.3454,46,192,2d_src=/global_costmap/costmap; 3D_min_z_clamped_to_0 inflation_corrected_0.20m
11,1777646547.750,0.3490,-0.0321,0.6585,0.000000,0.2600,0.1800,0.3900,0.018252,0.0890,-0.2121,0.2685,-0.018252,34.23,-117.83,68.84,-100.00,0.3599,1.0545,0.2040,0.9089,1.2224,0.6585,0.2020,0.3360,0.2109,0.3414,0.2082,0.3397,0.2168,0.3451,0.2750,0.3451,54,249,2d_src=/global_costmap/costmap; 3D_min_z_clamped_to_0 inflation_corrected_0.20m
12,1777806314.514,0.4777,0.1919,0.5251,0.048126,0.2600,0.1800,0.3900,0.018252,0.2177,0.0119,0.1351,0.029874,83.72,6.59,34.64,163.68,0.3917,1.0729,0.2218,0.8694,1.2648,0.5251,0.1670,0.2148,0.1581,0.2080,0.1676,0.2153,0.1588,0.2085,0.1873,0.2153,41,321,2d_src=/global_costmap/costmap; 3D_z_clamped_to_0; 3D_p5p95_filtered
13,1777810662.992,0.6000,0.2000,0.3250,0.9250,1.0250,1.2250,0.3400,0.0200,130.77,11.11,55,/global_costmap/costmap,0.4814,0.1392,0.5274,0.035330,0.3955,0.8769,1.0789,1.2181,0.2237,0.5274,0.2214,-0.0408,0.1374,0.017078,85.15,-22.69,35.22,93.57,0.1600,0.2108,0.1927,0.2367,0.1683,0.2173,0.1997,0.2424,0.2035,0.2424,215,,,,,,,,,0.2600,0.1800,0.3900,0.018252,2d_src=/global_costmap/costmap; 3D_z_clamped; 3D_p5p95
14,1777811024.417,0.6000,0.1500,0.3250,0.9250,1.0250,1.1750,0.3400,-0.0300,130.77,-16.67,48,/global_costmap/costmap,0.4911,0.1263,0.5053,0.031343,0.3793,0.8705,1.0588,1.1851,0.2228,0.5053,0.2311,-0.0537,0.1153,0.013091,88.90,-29.83,29.56,71.72,0.1857,0.2186,0.2292,0.2566,0.1793,0.2131,0.2240,0.2519,0.2198,0.2566,217,,,,,,,,,0.2600,0.1800,0.3900,0.018252,2d_src=/global_costmap/costmap; 3D_z_clamped; 3D_p5p95
15,1777811377.365,0.6000,0.1500,0.3250,0.9250,1.0250,1.1750,0.3400,-0.0300,130.77,-16.67,22,/global_costmap/costmap,0.3280,0.1265,0.5077,0.021069,0.5488,0.8767,1.0562,1.1828,0.2217,0.5077,0.0680,-0.0535,0.1177,0.002817,26.15,-29.70,30.18,15.44,0.1518,0.1921,0.2032,0.2348,0.1852,0.2194,0.2292,0.2577,0.2092,0.2577,60,,,,,,,,,0.2600,0.1800,0.3900,0.018252,2d_src=/global_costmap/costmap; 3D_z_clamped; 3D_p5p95
16,1777811785.090,0.6000,0.2500,0.3250,0.9250,1.0250,1.2750,0.3400,0.0700,130.77,38.89,56,/global_costmap/costmap,0.4885,0.1553,0.4772,0.036203,0.3943,0.8829,1.0664,1.2216,0.2227,0.4772,0.2285,-0.0247,0.0872,0.017951,87.90,-13.74,22.37,98.35,0.1704,0.1914,0.1904,0.2094,0.1815,0.2014,0.2004,0.2186,0.1954,0.2186,193,,,,,,,,,0.2600,0.1800,0.3900,0.018252,2d_src=/global_costmap/costmap; 3D_z_clamped; 3D_p5p95
17,1777812212.847,0.6000,0.2000,0.3250,0.9250,1.0250,1.2250,0.3400,0.0200,130.77,11.11,48,/global_costmap/costmap,0.3975,0.1525,0.4743,0.028746,0.4857,0.8833,1.0574,1.2098,0.2247,0.4743,0.1375,-0.0275,0.0843,0.010494,52.90,-15.29,21.61,57.50,0.1434,0.1663,0.1708,0.1904,0.1885,0.2065,0.2101,0.2264,0.1878,0.2264,183,,,,,,,,,0.2600,0.1800,0.3900,0.018252,2d_src=/global_costmap/costmap; 3D_z_clamped; 3D_p5p95
18,1777812428.584,0.6000,0.2000,0.3250,0.9250,1.0250,1.2250,0.3400,0.0200,130.77,11.11,34,/global_costmap/costmap,0.4354,0.1294,0.5141,0.028976,0.4362,0.8716,1.0745,1.2040,0.2227,0.5141,0.1754,-0.0506,0.1241,0.010724,67.47,-28.08,31.82,58.76,0.1407,0.1876,0.1872,0.2246,0.1679,0.2088,0.2084,0.2426,0.1960,0.2426,197,,,,,,,,,0.2600,0.1800,0.3900,0.018252,2d_src=/global_costmap/costmap; 3D_z_clamped; 3D_p5p95
19,1777812734.527,0.6000,0.1500,0.3250,0.9250,1.0250,1.1750,0.3400,-0.0300,130.77,-16.67,18,/global_costmap/costmap,0.4399,0.1244,0.5130,0.028081,0.4404,0.8803,1.0583,1.1828,0.2238,0.5130,0.1799,-0.0556,0.1230,0.009829,69.21,-30.88,31.54,53.85,0.1537,0.1969,0.2061,0.2400,0.1859,0.2229,0.2310,0.2618,0.2123,0.2618,193,,,,,,,,,0.2600,0.1800,0.3900,0.018252,2d_src=/global_costmap/costmap; 3D_z_clamped; 3D_p5p95
