stamp_sec,stamp_nanosec,x,y,yaw
1777881082,519162112,0.004265,-0.047635,-0.065091
1777881082,854481030,0.004265,-0.047635,-0.064906
1777881084,471647312,0.004265,-0.047635,-0.065048
1777881088,561484820,0.004265,-0.047635,-0.065378
1777881089,43644904,0.004265,-0.047635,-0.065443
1777881089,851826267,0.004265,-0.047635,-0.065213
1777881091,60630353,0.004265,-0.047635,-0.065189
1777881091,951925335,0.004265,-0.047635,-0.065262
1777881093,159205329,0.004265,-0.047635,-0.065277
1777881096,719037745,0.004265,-0.047635,-0.064850
1777881099,774812710,0.004265,-0.047635,-0.064711
1777881103,899008643,0.004265,-0.047635,-0.065518
1777881104,616376412,0.004265,-0.047635,-0.065439
1777881108,487100547,0.004265,-0.047635,-0.065314
1777881109,694286818,0.004265,-0.047635,-0.065451
1777881110,670135120,0.004265,-0.047635,-0.065440
1777881112,286916956,0.004265,-0.047635,-0.065480
1777881112,855546821,0.004265,-0.047635,-0.065411
1777881113,158294476,0.004265,-0.047635,-0.065565
1777881115,578162864,0.004265,-0.047635,-0.064726
1777881118,74332896,0.004265,-0.047635,-0.065152
1777881119,611512089,0.004265,-0.047635,-0.065149
1777881120,503366885,0.004265,-0.047635,-0.065153
1777881121,626830129,0.004265,-0.047635,-0.065187
1777881122,27484647,0.004265,-0.047635,-0.065213
1777881123,157801940,0.004265,-0.047635,-0.065142
1777881124,691640266,0.004265,-0.047635,-0.064954
1777881125,15166881,0.004265,-0.047635,-0.064917
1777881126,62786351,0.004265,-0.047635,-0.064658
1777881126,798998230,0.004265,-0.047635,-0.064658
1777881127,603753596,0.004265,-0.047635,-0.064647
1777881129,149388113,0.004265,-0.047635,-0.064974
1777881130,832200565,0.004265,-0.047635,-0.065025
1777881131,142383656,0.004265,-0.047635,-0.065150
1777881132,269483415,0.004265,-0.047635,-0.064435
1777881132,832817193,0.004265,-0.047635,-0.064598
1777881133,717832143,0.004265,-0.047635,-0.064366
1777881134,284404973,0.004265,-0.047635,-0.064360
1777881136,876555145,0.004265,-0.047635,-0.064251
1777881137,56319721,0.004265,-0.047635,-0.064173
1777881137,385234516,0.004265,-0.047635,-0.064452
1777881137,997325114,0.004265,-0.047635,-0.064360
1777881138,566849255,0.004265,-0.047635,-0.064123
1777881139,852476537,0.004265,-0.047635,-0.063976
1777881141,303322632,0.004265,-0.047635,-0.064614
1777881141,942860480,0.004265,-0.047635,-0.064748
